id,sitename,nearesttown,state,country,website,region,longitude,latitude,phone,numberofsites,distancefromtown
1,Alamosa,La Jara,Colorado,USA,,Southwest,-106.345,37.379,719.274.8971/719-852-5941,10,22.3
2,Almont,Almont,Colorado,USA,,Southwest,-106.858,38.654,970.641.0471/970.874.6600,10,1
3,Alvarado,Westcliffe,Colorado,USA,,Southwest,-105.562,38.08,719.269.8500/719.545.8737,50,6.5
4,Amphitheater,Ouray,Colorado,USA,,Southwest,-107.665,38.019,970.240.5300/970.874.6600,35,0.5
5,Angel of Shavano,Poncha Springs,Colorado,USA,,Southwest,-106.221,38.583,719.539.3591/719.545.8737,20,9.1
6,Ansel Watrous,Rustic,Colorado,USA,,Southwest,-105.35,40.689,970.498.1375/970.295.6600,16,12.1
7,Arapaho Bay,Granby,Colorado,USA,,Southwest,-105.76,40.121,970.887.4100/970.295.6600,84,9.8
8,Arkansas Point - Lake Pueblo State Park,Pueblo,Colorado,USA,,Southwest,-104.733,38.251,719.561.9320,,6.7
9,Aspen,Gould,Colorado,USA,,Southwest,-106.032,40.517,970.723.8204/307.745.2300,7,0.7
10,Aspen,Jefferson,Colorado,USA,,Southwest,-105.843,39.425,719.836.2031/719.545.8737,12,4
11,Aspen Glade,Antonito,Colorado,USA,,Southwest,-106.275,37.073,719.274.8971/719-852-5941,32,14.7
12,Aspen Glen,Fort Collins,Colorado,USA,,Southwest,-105.819,40.619,970.498.1375/970.295.6600,9,38.6
13,Aspen Grove - Vega State Park,Collbran,Colorado,USA,,Southwest,-107.78,39.222,970.487.3407,27,9.8
14,Aspen Meadow  - Golden Gate Canyon State Park,Golden,Colorado,USA,,Southwest,-105.416,39.864,303.582.3707,35,12.8
15,Aspenglen - Rocky Mountain National Park,Estes Park,Colorado,USA,,Southwest,-105.594,40.4,970.586.1206,51,4.1
16,Avalanche,Redstone,Colorado,USA,,Southwest,-107.204,39.236,970.963.2266/970.945.2521,13,4.3
17,Baby Doe,Leadville,Colorado,USA,,Southwest,-106.351,39.27,719.486.0749/719.545.8737,50,3.4
18,Bear Creek Lake Park,Lakewood,Colorado,USA,,Southwest,-105.177,39.654,303.697.6159,52,6.2
19,Bear Lake,La Veta,Colorado,USA,,Southwest,-105.143,37.326,719.269.8500/719.545.8737,14,14.4
20,Bear Lake,Yampa,Colorado,USA,,Southwest,-107.07,40.045,719.269.8500/719.545.8737,43,11.3
21,Beaver Creek,South Fork,Colorado,USA,,Southwest,-106.676,37.617,719.655.2547/719-852-5941,,4.2
22,Beaver Creek Unti - Hot Sulphur State Wildlife Area,Parshall,Colorado,USA,,Southwest,-106.133,40.053,303.297.1192,10,2.3
23,Beaver Lake,Cimarron,Colorado,USA,,Southwest,-107.545,38.25,970.240.5300/970.874.6600,11,13.3
24,Bellaire Lake,Red Feather Lakes,Colorado,USA,,Southwest,-105.617,40.771,970.498.1375/970.295.6600,26,2.6
25,Belle of Colorado,Leadville,Colorado,USA,,Southwest,-106.349,39.269,719.486.0749/719.545.8737,19,3.3
